Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.02,68.01,56.02,28.8,1
0.02,75.18,70.45,56.61,24.52,1
0.03,74.97,60.28,53.81,25.8,1
0.05,74.84,62.67,54.22,26.7,1
0.07,75.07,65.18,54.99,27.87,1
0.08,74.94,67.56,55.39,28.7,1
0.1,75.1,70.05,56.09,25.17,1
0.12,75.05,61.98,56.12,26.18,1
0.13,75.0,64.43,56.0,27.4,1
0.15,75.0,66.87,56.53,28.2,1
0.17,75.1,69.36,54.45,26.35,1
0.18,75.12,64.85,55.02,27.27,1
0.2,74.97,67.27,55.41,28.53,1
0.22,74.94,69.71,55.92,25.76,1
0.23,75.03,63.42,56.54,27.09,1
0.25,74.88,65.81,54.17,27.69,1
0.27,75.03,68.32,54.85,28.15,1
0.28,75.02,69.14,55.39,26.98,1
0.3,74.9,65.69,55.8,27.79,1
0.32,75.04,68.18,56.48,28.29,1
0.33,75.13,69.75,54.66,25.86,1
0.35,75.1,63.21,55.16,26.7,1
0.37,74.99,65.63,55.59,27.8,1
0.38,75.1,68.12,56.24,28.32,1
0.4,75.11,69.97,55.56,25.38,1
0.42,75.08,62.31,56.07,26.31,1
0.43,75.12,64.79,56.29,27.18,1
0.45,75.19,67.28,55.42,28.4,1
0.47,75.12,69.71,55.89,25.87,1
0.48,75.16,63.41,56.47,26.8,1
0.5,75.08,65.84,54.52,27.97,1
0.52,74.92,68.23,54.9,28.47,1
0.53,74.98,69.51,55.5,26.2,1
0.55,75.08,64.25,56.13,27.07,1
0.57,74.95,66.67,55.88,28.3,1
0.58,75.12,69.16,56.59,26.79,1
0.6,75.13,65.67,54.11,27.88,1
0.62,75.04,68.08,54.56,28.27,1
0.63,75.11,70.17,55.17,24.85,1
0.65,75.0,61.49,55.61,26.14,1
0.67,75.11,63.96,56.25,26.98,1
0.68,75.12,66.43,55.53,28.18,1
0.7,75.09,68.86,56.03,27.4,1
0.72,75.1,66.89,56.42,28.38,1
0.73,75.16,69.36,54.87,26.41,1
0.75,75.21,64.85,55.46,27.27,1
0.77,75.11,67.28,55.9,28.39,1
0.78,75.06,69.72,56.39,25.63,1
0.8,75.13,63.4,55.0,26.71,1
0.82,75.04,65.83,55.46,27.93,1
0.83,75.11,68.3,56.06,28.21,1
0.85,75.13,69.21,56.31,26.88,1
0.87,75.15,65.45,55.28,28.03,1
0.88,75.08,67.85,55.74,28.57,1
0.9,75.13,70.32,56.34,24.59,1
0.92,75.21,60.92,55.21,26.03,1
0.93,75.09,63.32,55.63,26.81,1
0.95,75.09,65.77,56.17,27.9,1
0.97,75.24,68.26,55.98,28.0,1
0.98,75.12,69.36,56.4,26.42,1
1.0,75.16,64.86,54.94,27.62,1
1.02,75.19,67.3,55.5,28.46,1
1.03,75.21,69.75,56.06,25.87,1
1.05,75.17,63.21,56.25,26.81,1
1.07,75.08,65.63,55.42,27.92,1
1.08,75.22,68.11,56.09,28.27,1
1.1,75.25,70.03,56.2,25.2,1
1.12,75.22,62.07,55.69,26.2,1
1.13,75.22,64.52,56.23,27.28,1
1.15,75.2,66.97,55.57,28.27,1
1.17,75.29,69.45,56.2,26.47,1
1.18,75.09,64.39,55.51,27.52,1
1.2,75.37,66.9,56.33,28.35,1
1.22,75.13,69.27,54.92,26.69,1
1.23,75.2,65.21,55.53,27.42,1
1.25,75.28,67.7,56.16,28.36,1
1.27,75.22,70.16,55.82,25.1,1
1.28,75.15,61.51,56.28,25.86,1
1.3,75.22,64.0,55.46,27.27,1
1.32,75.2,66.43,55.98,27.97,1
1.33,75.16,68.88,56.48,27.36,1
1.35,75.17,66.81,54.57,28.26,1
1.37,75.19,69.26,55.13,26.71,1
1.38,75.23,65.25,55.7,27.57,1
1.4,75.14,67.68,56.16,28.54,1
1.42,75.07,70.12,55.81,25.24,1
1.43,75.09,61.69,56.36,26.24,1
1.45,75.25,64.18,55.21,27.19,1
1.47,75.22,66.62,55.72,28.15,1
1.48,75.34,69.11,56.38,26.59,1
1.5,75.21,65.85,54.85,27.89,1
1.52,75.16,68.28,55.33,28.33,1
1.53,75.08,69.27,55.79,26.54,1
1.55,75.22,65.25,56.47,27.47,1
1.57,75.34,67.75,54.72,28.78,1
1.58,75.3,70.17,55.22,25.08,1
1.6,75.32,61.5,55.78,25.94,1
1.62,75.24,63.93,56.24,26.91,1
1.63,75.31,66.42,55.62,28.02,1
1.65,75.21,68.84,56.06,27.49,1
1.67,75.1,66.94,56.18,28.44,1
1.68,75.24,69.42,55.93,26.33,1
1.7,75.28,64.6,56.51,27.18,1
