Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,74.95,67.98,55.95,28.7,1
0.02,74.97,70.45,56.51,24.61,1
0.03,74.99,60.34,54.45,25.76,1
0.05,74.94,62.76,54.94,26.76,1
0.07,75.0,65.21,55.54,27.68,1
0.08,75.08,67.68,56.16,28.6,1
0.1,74.92,70.09,55.71,25.15,1
0.12,74.96,61.84,56.29,26.14,1
0.13,75.04,64.32,55.43,27.1,1
0.15,75.13,66.81,56.06,28.35,1
0.17,75.05,69.23,56.21,26.49,1
0.18,75.03,65.38,55.65,27.61,1
0.2,75.02,67.84,56.19,28.56,1
0.22,75.04,70.31,55.77,24.78,1
0.23,75.09,60.93,56.36,25.98,1
0.25,75.02,63.34,54.98,26.74,1
0.27,75.08,65.82,55.58,27.69,1
0.28,75.13,68.31,56.18,28.3,1
0.3,75.18,69.17,55.84,26.59,1
0.32,75.04,65.6,56.25,27.91,1
0.33,75.01,68.02,55.47,28.85,1
0.35,75.09,70.38,56.08,24.54,1
0.37,75.01,60.63,56.14,25.75,1
0.38,74.98,63.07,55.93,26.78,1
0.4,75.12,65.55,56.6,27.93,1
0.42,75.08,67.98,54.03,28.83,1
0.43,75.2,70.45,54.68,24.37,1
0.45,75.09,60.33,55.12,25.65,1
0.47,75.18,62.8,55.75,26.64,1
0.48,75.11,65.23,56.21,27.61,1
0.5,75.07,67.67,55.64,28.56,1
0.52,75.05,70.11,56.15,25.25,1
0.53,75.08,61.75,55.95,26.02,1
0.55,75.11,64.22,56.52,27.25,1
0.57,75.17,66.69,54.46,28.37,1
0.58,75.22,69.14,55.05,26.66,1
0.6,75.14,65.73,55.5,27.83,1
0.62,75.13,68.18,56.04,28.31,1
0.63,75.1,69.7,56.34,25.85,1
0.65,74.98,63.4,55.01,26.84,1
0.67,75.12,65.9,55.7,27.67,1
0.68,75.22,68.4,56.34,27.99,1
0.7,75.09,68.76,55.01,27.59,1
0.72,75.13,67.31,55.58,28.13,1
0.73,75.21,69.82,56.21,25.55,1
0.75,75.11,62.92,55.57,26.55,1
0.77,75.21,65.41,56.21,27.52,1
0.78,75.07,67.83,55.53,28.66,1
0.8,75.1,70.29,56.11,24.94,1
0.82,75.1,60.99,56.08,25.85,1
0.83,75.0,63.41,56.11,26.61,1
0.85,74.93,65.87,56.02,27.74,1
0.87,75.16,68.4,56.69,28.08,1
0.88,75.04,68.76,53.57,27.51,1
0.9,75.13,67.33,54.2,28.32,1
0.92,75.06,69.78,54.67,25.68,1
0.93,75.05,63.1,55.2,26.99,1
0.95,75.28,65.6,55.97,27.68,1
0.97,75.11,68.0,56.33,28.58,1
0.98,75.16,70.48,55.23,24.54,1
1.0,75.25,60.24,55.86,25.59,1
1.02,75.2,62.67,56.35,26.41,1
1.03,75.12,65.11,55.02,27.65,1
1.05,75.2,67.58,55.64,28.39,1
1.07,75.09,70.01,56.07,25.35,1
1.08,75.13,62.16,56.29,26.56,1
1.1,75.26,64.63,55.47,27.17,1
1.12,75.43,67.15,56.18,28.22,1
1.13,75.24,69.56,55.61,26.02,1
1.15,75.12,63.98,56.03,27.22,1
1.17,75.23,66.45,56.52,28.3,1
1.18,75.24,68.88,54.4,26.92,1
1.2,75.39,66.89,55.09,28.26,1
1.22,75.24,69.3,55.48,26.5,1
1.23,75.27,65.09,56.05,27.63,1
1.25,75.27,67.53,56.33,28.36,1
1.27,75.26,70.0,55.17,25.47,1
1.28,75.24,62.17,55.69,26.54,1
1.3,75.3,64.62,56.28,27.29,1
1.32,75.31,67.08,55.4,28.36,1
1.33,75.18,69.49,55.81,26.26,1
1.35,75.23,64.31,56.39,27.04,1
1.37,75.19,66.76,54.89,28.01,1
1.38,75.25,69.25,55.5,26.67,1
1.4,75.33,65.31,56.12,27.47,1
1.42,75.26,67.75,55.97,28.69,1
1.43,75.09,70.14,56.34,25.17,1
1.45,75.31,61.68,55.36,26.16,1
1.47,75.2,64.09,55.78,27.15,1
1.48,75.24,66.56,56.37,28.01,1
1.5,75.25,69.02,55.01,26.82,1
1.52,75.18,66.23,55.49,27.89,1
1.53,75.31,68.73,56.16,27.58,1
1.55,75.28,67.42,55.85,28.26,1
1.57,75.23,69.88,56.34,25.54,1
1.58,75.31,62.71,55.22,26.67,1
1.6,75.09,65.08,55.53,27.73,1
1.62,75.33,67.59,56.31,28.4,1
1.63,75.13,70.0,55.07,25.42,1
1.65,75.21,62.2,55.68,26.25,1
1.67,75.16,64.65,56.17,27.48,1
1.68,75.33,67.14,56.01,28.42,1
1.7,75.21,69.55,56.37,26.17,1
1.72,75.06,64.0,54.86,27.2,1
1.73,75.25,66.5,55.59,28.1,1
1.75,75.3,68.96,56.17,27.17,1
1.77,75.26,66.47,55.8,27.99,1
1.78,75.22,68.92,56.31,27.04,1
1.8,75.27,66.68,55.31,28.12,1
1.82,75.12,69.09,55.7,26.79,1
1.83,75.34,66.03,56.46,28.11,1
1.85,75.2,68.42,54.49,27.95,1
1.87,75.33,68.76,55.16,27.62,1
1.88,75.13,67.23,55.5,28.32,1
1.9,75.38,69.77,56.29,25.77,1
1.92,75.27,63.1,55.23,26.69,1
1.93,75.39,65.59,55.89,27.85,1
1.95,75.26,67.99,56.3,28.84,1
1.97,75.26,70.43,55.29,24.57,1
1.98,75.33,60.44,55.91,25.47,1
2.0,75.17,62.86,56.29,26.55,1
2.02,75.25,65.34,55.42,27.64,1
2.03,75.36,67.83,56.07,28.73,1
2.05,75.28,70.25,56.17,24.92,1
2.07,75.24,61.15,55.8,25.95,1
2.08,75.2,63.58,56.29,27.12,1
2.1,75.47,66.09,55.61,28.03,1
2.12,75.54,68.55,56.22,27.89,1
2.13,75.34,68.11,55.43,28.41,1
2.15,75.18,69.96,55.81,25.49,1
2.17,75.2,62.36,56.37,26.44,1
2.18,75.29,64.83,55.1,27.56,1
2.2,75.27,67.26,55.61,28.52,1
2.22,75.22,69.69,56.1,25.94,1
2.23,75.4,63.52,56.31,26.64,1
2.25,75.3,65.96,55.16,28.03,1
2.27,75.41,68.43,55.8,27.73,1
2.28,75.26,68.66,56.2,27.6,1
2.3,75.3,67.73,55.76,28.6,1
2.32,75.34,70.2,56.34,24.96,1
2.33,75.26,61.34,55.05,26.0,1
2.35,75.25,63.79,55.58,27.0,1
2.37,75.29,66.25,56.16,28.17,1
2.38,75.32,68.7,55.9,27.52,1
2.4,75.53,67.62,56.65,28.39,1
2.42,75.37,70.04,53.7,25.32,1
2.43,75.22,61.97,54.09,26.4,1
2.45,75.31,64.44,54.72,27.19,1
2.47,75.24,66.87,55.18,28.12,1
2.48,75.35,69.37,55.84,26.58,1
2.5,75.28,64.76,56.3,27.27,1
2.52,75.35,67.24,55.37,28.46,1
2.53,75.42,69.7,55.98,25.91,1
2.55,75.25,63.38,56.35,26.81,1
2.57,75.31,65.85,55.15,27.86,1
2.58,75.23,68.27,55.62,28.18,1
2.6,75.3,69.37,56.22,26.4,1
2.62,75.22,64.77,55.56,27.31,1
2.63,75.42,67.28,56.29,28.08,1
2.65,75.29,69.73,55.23,25.75,1
2.67,75.41,63.34,55.88,26.76,1
2.68,75.4,65.8,56.42,27.95,1
2.7,75.26,68.19,54.66,28.25,1
2.72,75.37,69.71,55.3,25.88,1
2.73,75.4,63.4,55.87,26.81,1
2.75,75.38,65.84,56.39,27.83,1
2.77,75.37,68.29,54.92,28.58,1
2.78,75.32,69.2,55.4,26.72,1
2.8,75.3,65.49,55.93,27.7,1
2.82,75.45,67.99,56.61,28.76,1
2.83,75.41,70.42,53.98,24.75,1
2.85,75.41,60.45,54.52,25.68,1
2.87,75.3,62.85,54.94,26.49,1
2.88,75.46,65.37,55.65,27.38,1
