Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.13,68.04,56.13,12.8,0
0.02,74.95,73.52,56.54,8.94,0
0.03,74.94,50.91,55.02,9.88,0
0.05,75.08,56.68,56.42,10.89,0
0.07,75.02,62.39,55.47,11.91,0
0.08,75.08,68.13,56.79,12.75,0
0.1,74.95,73.17,53.86,9.12,0
0.12,75.04,52.42,55.22,10.24,0
0.13,75.02,58.08,56.45,11.15,0
0.15,74.92,63.78,55.3,12.12,0
0.17,75.01,69.54,56.65,11.82,0
0.18,74.96,67.33,54.53,12.81,0
0.2,75.0,73.04,55.82,9.26,0
0.22,75.05,52.92,57.13,10.27,0
0.23,75.04,58.63,52.58,11.17,0
0.25,75.13,64.42,53.94,12.21,0
0.27,75.02,70.13,55.09,11.43,0
0.28,75.11,64.91,56.43,12.39,0
0.3,75.07,70.59,55.43,11.0,0
0.32,75.0,63.01,56.62,12.14,0
0.33,75.03,68.68,54.72,12.32,0
0.35,74.99,70.93,55.94,10.8,0
0.37,75.05,61.63,57.26,11.76,0
0.38,75.04,67.35,52.05,12.8,0
0.4,75.01,73.05,53.27,9.22,0
0.42,75.02,52.89,54.54,10.25,0
0.43,75.06,58.62,55.84,11.22,0
0.45,75.07,64.35,57.11,12.27,0
0.47,75.11,70.07,52.71,11.43,0
0.48,75.15,65.16,54.0,12.36,0
0.5,75.0,70.85,55.12,10.86,0
0.52,75.13,61.98,56.51,11.84,0
0.53,75.06,67.67,55.07,12.79,0
0.55,75.01,73.39,56.28,8.98,0
0.57,75.1,51.51,56.21,9.99,0
0.58,75.12,57.24,56.41,11.03,0
0.6,75.05,62.92,55.48,11.99,0
0.62,75.07,68.65,56.76,12.43,0
0.63,75.08,71.03,54.14,10.76,0
0.65,75.03,61.16,55.34,11.73,0
0.67,74.91,66.82,56.47,12.65,0
0.68,75.12,72.62,55.53,9.55,0
0.7,75.14,54.65,56.81,10.5,0
0.72,75.14,60.4,53.92,11.58,0
0.73,75.26,66.14,55.3,12.55,0
0.75,75.19,71.84,56.48,10.14,0
0.77,75.14,57.82,55.22,11.03,0
0.78,75.06,63.56,56.41,12.02,0
0.8,75.11,69.34,55.62,11.9,0
0.82,75.18,68.21,56.96,12.7,0
0.83,75.12,72.85,53.23,9.37,0
0.85,75.26,53.74,54.63,10.42,0
0.87,75.09,59.39,55.72,11.28,0
0.88,75.2,65.2,57.1,12.27,0
0.9,75.19,70.98,52.71,10.78,0
0.92,75.11,61.36,53.89,11.72,0
0.93,75.22,67.11,55.26,12.67,0
0.95,75.11,72.82,56.41,9.39,0
0.97,75.11,53.82,55.57,10.49,0
0.98,75.2,59.51,56.9,11.43,0
1.0,75.25,65.23,53.59,12.44,0
1.02,75.29,70.94,54.88,10.76,0
1.03,75.1,61.51,55.95,11.78,0
1.05,75.27,67.26,57.37,12.72,0
1.07,75.2,72.98,51.54,9.27,0
1.08,75.18,53.16,52.78,10.27,0
1.1,75.2,58.89,54.06,11.26,0
1.12,75.23,64.63,55.35,12.23,0
1.13,75.31,70.41,56.7,11.15,0
1.15,75.06,63.68,54.12,12.05,0
1.17,75.23,69.5,55.55,11.77,0
1.18,75.35,67.57,56.93,12.82,0
1.2,75.17,73.23,53.24,9.15,0
1.22,75.27,52.12,54.58,10.1,0
1.23,75.22,57.82,55.8,11.1,0
1.25,75.02,63.48,56.85,12.07,0
1.27,75.25,69.28,53.98,11.91,0
1.28,75.1,68.41,55.1,12.55,0
