Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
0.0,74.93,67.98,55.93,28.61
0.02,74.93,70.44,56.47,24.55
0.03,75.04,60.42,54.71,25.44
0.05,74.83,62.83,55.04,26.56
0.07,74.91,65.31,55.67,27.7
0.08,75.02,67.79,56.32,28.36
0.1,74.86,70.22,55.05,25.03
0.12,75.23,61.4,55.97,26.12
0.13,75.04,63.78,56.32,27.02
0.15,75.04,66.23,55.21,28.1
0.17,75.1,68.7,55.81,27.56
0.18,75.03,67.53,56.28,28.66
0.2,75.15,70.01,55.5,25.28
0.22,75.01,62.12,55.9,26.28
0.23,74.87,64.53,56.31,27.65
0.25,75.07,67.02,55.45,28.34
0.27,75.01,69.45,55.93,26.07
0.28,75.03,64.49,56.49,27.39
0.3,75.13,66.96,54.61,28.38
0.32,75.04,69.38,55.06,26.38
0.33,75.12,64.78,55.68,27.48
0.35,75.09,67.22,56.19,28.4
0.37,75.15,69.69,55.81,25.76
0.38,75.12,63.47,56.33,26.68
0.4,75.13,65.94,55.18,27.84
0.42,75.09,68.39,55.69,28.02
0.43,74.92,68.79,56.05,27.43
0.45,74.98,67.21,56.4,28.14
0.47,75.04,69.71,54.96,25.84
0.48,75.15,63.42,55.6,26.53
0.5,75.09,65.88,56.09,28.05
0.52,75.14,68.33,56.21,28.2
0.53,74.9,69.02,55.44,26.95
0.55,75.17,66.32,56.24,27.82
0.57,75.12,68.78,55.51,27.35
0.58,75.21,67.26,56.14,28.45
0.6,74.97,69.64,55.72,26.08
0.62,75.15,63.72,56.43,26.84
0.63,75.18,66.2,54.8,27.86
0.65,75.22,68.67,55.38,27.53
0.67,75.21,67.69,55.92,28.76
0.68,75.09,70.09,56.34,25.25
0.7,75.02,61.8,55.06,26.33
0.72,75.13,64.27,55.7,27.12
0.73,75.19,66.74,56.3,28.17
0.75,75.04,69.16,55.16,26.7
0.77,75.05,65.67,55.7,28.05
0.78,75.19,68.14,56.38,28.42
0.8,75.15,69.86,54.93,25.69
0.82,75.07,62.74,55.38,26.52
0.83,75.13,65.22,55.99,27.63
0.85,75.02,67.63,56.42,28.53
0.87,75.14,70.12,54.93,24.98
0.88,75.07,61.7,55.4,26.02
0.9,75.09,64.17,55.96,27.32
0.92,75.02,66.59,56.42,28.18
0.93,75.1,69.06,54.88,26.87
0.95,75.06,66.07,55.39,28.06
0.97,75.13,68.53,56.0,27.7
0.98,75.14,68.28,56.55,28.2
1.0,75.16,69.31,54.29,26.44
1.02,75.04,65.01,54.71,27.44
1.03,75.13,67.49,55.34,28.53
1.05,75.16,69.95,55.91,25.49
1.07,75.15,62.39,56.43,26.35
1.08,75.12,64.84,54.74,27.23
1.1,75.3,67.37,55.47,28.62
1.12,75.17,69.77,55.87,25.85
1.13,75.11,63.11,56.35,27.23
1.15,75.15,65.53,55.13,27.67
1.17,75.21,68.0,55.72,28.73
1.18,75.28,70.47,56.34,24.5
1.2,75.38,60.29,55.23,25.24
1.22,75.12,62.69,55.52,26.64
1.23,75.19,65.16,56.13,27.63
1.25,75.27,67.62,56.07,28.3
1.27,75.3,70.11,56.29,25.26
1.28,75.33,61.73,55.36,26.17
1.3,75.16,64.13,55.74,26.93
1.32,75.02,66.56,56.14,28.13
1.33,75.27,69.09,56.21,26.9
1.35,75.16,65.91,55.56,27.93
1.37,75.23,68.38,56.17,27.99
1.38,75.42,68.95,56.03,27.15
1.4,75.31,66.49,56.31,28.16
1.42,75.14,68.88,55.08,27.3
1.43,75.11,66.8,55.59,28.22
1.45,75.14,69.27,56.16,26.63
1.47,75.17,65.21,55.91,27.66
1.48,75.18,67.66,56.45,28.55
1.5,75.26,70.13,54.76,25.22
1.52,75.35,61.68,55.39,25.92
1.53,75.37,64.15,55.95,27.07
1.55,75.13,66.54,56.25,28.03
1.57,75.36,69.07,55.74,27.0
1.58,75.27,66.0,56.2,27.69
1.6,75.29,68.47,55.73,27.72
1.62,75.24,68.52,56.23,27.79
1.63,75.16,68.28,55.51,28.08
1.65,75.33,69.36,56.22,26.46
1.67,75.19,64.79,55.49,27.44
1.68,75.21,67.25,56.05,28.32
1.7,75.26,69.72,56.38,25.74
1.72,75.33,63.37,55.04,26.68
1.73,75.26,65.82,55.51,27.78
1.75,75.26,68.27,56.06,28.19
1.77,75.24,69.34,56.27,26.38
1.78,75.22,64.92,55.41,27.73
1.8,75.25,67.35,55.97,28.33
1.82,75.12,69.78,56.38,25.7
1.83,75.27,63.15,55.12,27.01
1.85,75.25,65.57,55.63,27.64
1.87,75.31,68.04,56.23,28.64
1.88,75.34,70.3,55.63,24.76
1.9,75.3,60.94,56.12,26.08
1.92,75.23,63.35,55.98,27.01
1.93,75.32,65.81,56.59,27.49
1.95,75.16,68.24,53.96,28.57
1.97,75.37,69.5,54.7,26.12
1.98,75.17,64.21,55.05,27.15
2.0,75.28,66.69,55.69,28.1
2.02,75.34,69.17,56.29,26.69
2.03,75.24,65.6,55.25,27.82
2.05,75.53,68.12,56.07,28.64
2.07,75.31,69.88,56.03,25.53
2.08,75.34,62.7,56.45,26.6
2.1,75.28,65.13,54.62,27.34
2.12,75.3,67.6,55.18,28.39
2.13,75.34,70.08,55.76,25.36
2.15,75.35,61.85,56.31,26.24
2.17,75.31,64.28,55.21,27.12
2.18,75.36,66.75,55.81,28.11
2.2,75.41,69.23,56.4,26.44
2.22,75.28,65.35,54.76,27.95
2.23,75.42,67.81,55.43,28.65
2.25,75.29,70.22,55.84,25.15
2.27,75.19,61.24,56.28,26.11
2.28,75.4,63.73,55.58,26.89
2.3,75.25,66.15,55.97,27.94
2.32,75.19,68.58,56.46,27.81
2.33,75.37,68.11,54.82,28.42
2.35,75.21,69.95,55.19,25.55
2.37,75.5,62.48,56.02,26.48
2.38,75.25,64.85,56.21,27.26
2.4,75.41,67.37,55.84,28.21
2.42,75.39,69.83,56.36,25.69
2.43,75.25,62.85,54.91,26.69
2.45,75.32,65.31,55.52,27.8
2.47,75.34,67.75,56.07,28.61
2.48,75.42,70.22,56.33,24.89
2.5,75.28,61.25,55.03,26.01
2.52,75.38,63.73,55.67,27.04
2.53,75.38,66.17,56.22,27.67
2.55,75.2,68.59,55.45,27.86
2.57,75.48,68.09,56.27,28.77
2.58,75.38,70.03,55.31,25.17
2.6,75.38,62.08,55.86,26.14
2.62,75.42,64.55,56.44,27.38
2.63,75.39,66.99,54.69,28.3
2.65,75.38,69.44,55.22,26.35
2.67,75.24,64.45,55.62,27.39
2.68,75.21,66.88,56.13,28.54
2.7,75.33,69.35,56.12,26.71
2.72,75.35,64.85,56.05,27.3
2.73,75.31,67.3,56.3,28.42
2.75,75.51,69.81,55.5,25.49
2.77,75.2,62.9,55.72,26.63
2.78,75.42,65.42,56.49,27.42
2.8,75.37,67.87,54.47,28.47
2.82,75.32,70.33,54.96,24.85
2.83,75.25,60.8,55.42,25.86
2.85,75.47,63.31,56.19,26.53
2.87,75.44,65.77,55.72,27.8
2.88,75.31,68.18,56.14,28.48
2.9,75.33,69.71,55.97,26.0
2.92,75.34,63.37,56.52,26.93
2.93,75.41,65.84,54.46,28.04
2.95,75.31,68.24,54.9,28.16
2.97,75.41,69.5,55.54,26.15
2.98,75.43,64.26,56.09,27.16
3.0,75.37,66.69,56.11,28.1
3.02,75.38,69.16,56.1,26.56
3.03,75.44,65.69,56.19,27.89
3.05,75.32,68.09,55.63,28.44
3.07,75.42,70.12,56.27,25.24
3.08,75.37,61.68,55.38,26.1
3.1,75.15,64.06,55.69,27.14
3.12,75.38,66.58,56.46,28.1
3.13,75.4,69.04,54.66,26.82
3.15,75.48,66.19,55.28,28.01
3.17,75.48,68.63,55.82,27.78
3.18,75.45,67.83,56.33,28.55
3.2,75.48,70.3,55.21,24.65
3.22,75.31,60.92,55.58,25.74
3.23,75.35,63.39,56.16,26.75
3.25,75.48,65.88,56.01,27.85
3.27,75.43,68.32,56.44,28.09
3.28,75.39,69.12,54.69,26.99
3.3,75.3,65.78,55.13,27.88
3.32,75.35,68.24,55.73,28.18
3.33,75.45,69.5,56.37,26.17
3.35,75.42,64.25,54.97,27.31
3.37,75.35,66.67,55.44,28.28
3.38,75.36,69.11,55.99,26.97
3.4,75.47,65.89,56.63,27.71
3.42,75.37,68.32,53.84,28.02
3.43,75.4,69.15,54.42,26.84
3.45,75.29,65.67,54.85,27.58
3.47,75.35,68.15,55.45,28.45
3.48,75.34,69.83,55.98,25.58
3.5,75.4,62.92,56.58,26.49
3.52,75.32,65.35,54.07,27.52
3.53,75.35,67.82,54.64,28.65
3.55,75.51,70.32,55.33,25.06
3.57,75.33,60.79,55.69,25.67
3.58,75.4,63.27,56.3,26.42
3.6,75.47,65.78,55.38,27.77
3.62,75.29,68.17,55.74,28.47
3.63,75.4,69.78,56.38,25.63
3.65,75.4,63.11,54.98,26.66
3.67,75.32,65.54,55.43,27.63
3.68,75.57,68.07,56.22,28.42
3.7,75.44,70.14,55.51,25.17
3.72,75.39,61.59,56.0,26.05
3.73,75.41,64.05,56.55,27.0
3.75,75.45,66.52,54.32,28.08
3.77,75.39,68.95,54.8,27.04
3.78,75.33,66.52,55.28,28.03
3.8,75.61,69.06,56.1,26.62
3.82,75.36,66.03,55.88,27.59
3.83,75.41,68.52,56.47,27.89
3.85,75.27,68.25,54.46,28.2
3.87,75.32,69.45,55.06,26.33
3.88,75.45,64.49,55.72,27.36
3.9,75.3,66.89,56.11,28.07
3.92,75.47,69.41,56.25,26.57
3.93,75.44,64.59,55.48,27.17
3.95,75.44,67.06,56.02,28.41
3.97,75.44,69.5,56.45,26.3
3.98,90.34,90.1,100.34,0.48
4.0,90.2,90.06,100.2,0.48
4.02,90.33,90.1,100.33,0.48
4.03,90.38,90.11,100.38,0.48
4.05,90.59,90.18,100.59,0.48
4.07,90.26,90.08,100.26,0.48
4.08,90.39,90.12,100.39,0.48
4.1,90.48,90.14,100.48,0.47
4.12,90.36,90.11,100.36,0.48
4.13,90.49,90.15,100.49,0.48
4.15,90.42,90.13,100.42,0.48
4.17,90.13,90.04,100.13,0.48
4.18,90.42,90.13,100.42,0.48
4.2,90.43,90.13,100.43,0.48
4.22,90.33,90.1,100.33,0.48
4.23,90.1,90.03,100.1,0.48
4.25,90.49,90.15,100.49,0.48
4.27,90.32,90.1,100.32,0.48
4.28,90.44,90.13,100.44,0.48
4.3,90.55,90.16,100.55,0.48
4.32,90.4,90.12,100.4,0.48
4.33,90.44,90.13,100.44,0.48
4.35,90.33,90.1,100.33,0.48
4.37,90.32,90.1,100.32,0.48
4.38,90.44,90.13,100.44,0.48
4.4,90.24,90.07,100.24,0.48
4.42,90.46,90.14,100.46,0.48
4.43,90.59,90.18,100.59,0.48
4.45,90.38,90.11,100.38,0.48
4.47,90.47,90.14,100.47,0.48
4.48,90.46,90.14,100.46,0.48
4.5,90.38,90.11,100.38,0.48
4.52,90.32,90.09,100.32,0.48
4.53,90.32,90.09,100.32,0.49
4.55,90.39,90.12,100.39,0.48
4.57,90.45,90.14,100.45,0.48
4.58,90.41,90.12,100.41,0.48
4.6,90.41,90.12,100.41,0.48
4.62,90.41,90.12,100.41,0.48
4.63,90.5,90.15,100.5,0.48
4.65,90.33,90.1,100.33,0.48
4.67,90.38,90.11,100.38,0.48
4.68,90.42,90.13,100.42,0.48
4.7,90.31,90.09,100.31,0.48
4.72,90.3,90.09,100.3,0.48
4.73,90.41,90.12,100.41,0.48
4.75,90.37,90.11,100.37,0.48
4.77,90.29,90.09,100.29,0.48
