Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.15,68.04,56.15,12.94,1
0.02,74.94,73.45,56.42,8.92,1
0.03,75.12,51.3,55.71,9.96,1
0.05,74.97,56.98,56.82,10.99,1
0.07,75.07,62.71,53.97,11.98,1
0.08,74.97,68.39,55.13,12.7,1
0.1,75.05,72.1,56.46,9.88,1
0.12,74.93,56.78,55.24,10.88,1
0.13,74.88,62.51,56.45,11.85,1
0.15,75.01,68.32,55.55,12.66,1
0.17,74.99,72.39,56.78,9.72,1
0.18,75.07,55.61,54.12,10.71,1
0.2,75.04,61.33,55.35,11.63,1
0.22,75.1,67.12,56.68,12.76,1
0.23,75.0,72.79,54.34,9.38,1
0.25,74.98,53.97,55.59,10.44,1
0.27,75.12,59.73,56.99,11.43,1
0.28,75.03,65.43,53.08,12.41,1
0.3,74.98,71.14,54.29,10.75,1
0.32,75.07,60.71,55.63,11.68,1
0.33,75.1,66.4,56.9,12.64,1
0.35,75.04,72.09,53.48,9.81,1
0.37,75.15,56.94,54.87,10.95,1
0.38,75.06,62.63,56.03,11.95,1
0.4,75.01,68.34,57.09,12.71,1
0.42,74.92,72.26,52.66,9.73,1
0.43,75.2,56.27,54.21,10.85,1
0.45,74.99,61.91,55.26,11.83,1
0.47,75.04,67.64,56.57,12.81,1
0.48,75.11,73.39,54.97,8.95,1
0.5,75.3,51.55,56.42,10.02,1
0.52,74.95,57.15,55.18,11.02,1
0.53,75.14,62.91,56.62,11.94,1
0.55,75.0,68.62,54.57,12.47,1
0.57,75.04,71.16,55.86,10.58,1
0.58,75.15,60.71,57.24,11.6,1
0.6,75.18,66.45,52.16,12.57,1
0.62,75.07,72.15,53.31,9.87,1
0.63,75.09,56.61,54.6,10.85,1
0.65,75.05,62.34,55.82,11.92,1
0.67,75.18,68.08,57.2,12.86,1
0.68,75.08,73.35,52.21,9.04,1
0.7,74.94,51.57,53.32,9.97,1
0.72,75.11,57.37,54.76,11.02,1
0.73,75.26,63.14,56.17,12.1,1
0.75,75.09,68.77,56.37,12.31,1
0.77,75.11,70.56,55.76,10.99,1
0.78,75.15,63.18,57.06,11.94,1
0.8,75.18,68.96,52.92,12.23,1
0.82,75.11,69.72,54.1,11.73,1
0.83,75.22,66.6,55.46,12.58,1
0.85,75.13,72.32,56.64,9.77,1
0.87,75.18,55.89,54.66,10.82,1
0.88,75.22,61.59,55.95,11.68,1
0.9,75.18,67.34,57.18,12.75,1
0.92,75.36,73.12,52.57,9.15,1
0.93,75.15,52.54,53.63,10.22,1
0.95,75.16,58.23,54.89,11.16,1
0.97,75.11,63.95,56.09,12.08,1
0.98,75.29,69.77,57.08,11.58,1
1.0,75.13,66.37,52.65,12.63,1
1.02,75.15,72.09,53.92,9.91,1
1.03,75.13,56.83,55.15,10.94,1
1.05,75.23,62.57,56.51,12.01,1
1.07,75.12,68.21,55.03,12.7,1
1.08,75.15,72.88,56.33,9.33,1
1.1,75.16,53.59,55.91,10.3,1
1.12,75.04,59.31,57.05,11.43,1
1.13,75.1,65.01,52.98,12.34,1
1.15,75.27,70.8,54.41,10.93,1
1.17,75.16,62.08,55.55,11.86,1
1.18,75.06,67.76,56.71,12.82,1
1.2,75.14,73.52,54.41,8.93,1
1.22,75.08,50.88,55.6,9.83,1
1.23,75.22,56.69,57.01,10.84,1
1.25,75.26,62.45,53.13,12.0,1
1.27,75.24,68.12,54.36,12.72,1
1.28,75.18,73.24,55.57,9.03,1
1.3,75.04,52.08,56.69,10.13,1
1.32,75.28,57.86,54.65,11.06,1
1.33,75.18,63.58,55.81,12.17,1
1.35,75.16,69.26,57.04,12.01,1
1.37,75.22,68.51,53.02,12.45,1
1.38,75.19,71.64,54.26,10.28,1
1.4,75.35,58.72,55.67,11.22,1
1.42,75.26,64.43,56.85,12.21,1
1.43,75.27,70.17,53.76,11.23,1
1.45,75.17,64.77,54.93,12.37,1
1.47,75.14,70.45,56.15,11.08,1
