Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
0.0,74.95,67.99,55.95,12.92
0.02,74.99,73.7,57.24,8.79
0.03,75.13,50.22,52.28,9.74
0.05,75.09,55.95,53.51,10.76
0.07,74.83,61.6,54.51,11.75
0.08,75.06,67.4,55.99,12.81
0.1,75.07,73.11,57.26,9.21
0.12,74.88,52.56,51.87,10.21
0.13,74.99,58.3,53.23,11.17
0.15,75.08,64.06,54.58,12.21
0.17,75.06,69.76,55.82,11.62
0.18,75.07,66.46,57.09,12.63
0.2,75.07,72.17,52.75,9.83
0.22,74.99,56.51,53.94,10.93
0.23,74.97,62.19,55.17,11.81
0.25,75.04,67.97,56.5,12.95
0.27,75.03,73.65,55.18,8.84
0.28,74.99,50.36,56.39,9.8
0.3,75.0,56.08,55.66,10.95
0.32,75.16,61.77,57.06,11.85
0.33,75.01,67.41,52.73,12.79
0.35,74.98,73.12,53.96,9.2
0.37,75.11,52.62,55.34,10.15
0.38,75.1,58.36,56.6,11.27
0.4,75.23,64.08,54.9,12.27
0.42,74.97,69.68,55.89,11.67
0.43,75.05,66.81,57.23,12.71
0.45,75.06,72.52,52.18,9.59
0.47,75.13,55.09,53.52,10.62
0.48,75.1,60.81,54.74,11.71
0.5,75.11,66.49,56.01,12.64
0.52,74.98,72.15,57.08,9.98
0.53,75.1,56.57,52.91,10.98
0.55,75.07,62.23,54.13,11.96
0.57,75.26,67.96,55.56,12.88
0.58,74.98,73.6,56.55,8.86
0.6,75.05,50.61,55.05,9.92
0.62,75.17,56.31,56.41,10.83
0.63,75.14,62.03,55.54,11.93
0.65,75.03,67.67,56.68,12.8
0.67,75.11,73.43,54.53,9.06
0.68,75.09,51.22,55.76,9.82
0.7,75.09,57.03,57.04,11.04
0.72,75.05,62.69,52.91,11.89
0.73,75.03,68.44,54.16,12.52
0.75,75.01,71.93,55.4,10.11
0.77,75.24,57.52,56.88,11.08
0.78,75.16,63.2,53.54,12.15
0.8,75.06,68.83,54.69,12.33
0.82,75.16,70.3,56.04,11.23
0.83,75.16,64.22,57.09,12.18
0.85,75.1,69.94,52.7,11.41
0.87,75.13,65.76,54.01,12.42
0.88,75.23,71.55,55.37,10.39
0.9,75.08,58.97,56.47,11.42
0.92,75.06,64.63,55.28,12.34
0.93,75.04,70.32,56.51,11.19
0.95,75.04,64.15,55.16,12.27
0.97,75.29,69.92,56.66,11.45
0.98,75.24,65.79,54.49,12.49
1.0,75.26,71.52,55.77,10.35
1.02,75.22,59.16,56.98,11.36
1.03,75.26,64.87,53.25,12.43
1.05,75.17,70.52,54.41,11.06
1.07,75.19,63.32,55.69,12.15
1.08,75.0,68.93,56.74,12.26
1.1,75.27,69.94,54.47,11.45
1.12,75.13,65.68,55.6,12.37
1.13,75.15,71.46,56.89,10.42
1.15,75.36,59.48,53.79,11.38
1.17,75.12,65.13,54.8,12.35
1.18,75.3,70.91,56.24,10.76
1.2,75.18,61.68,56.15,11.7
1.22,75.07,67.41,56.54,12.83
1.23,75.24,73.16,55.2,9.21
1.25,75.34,52.4,56.54,10.14
1.27,75.29,58.1,54.98,11.18
1.28,75.26,63.79,56.21,12.1
1.3,75.13,69.49,56.26,11.87
1.32,75.19,67.56,56.24,12.84
1.33,75.34,73.31,56.42,9.01
1.35,75.27,51.78,55.45,10.06
1.37,75.03,57.42,56.47,11.06
1.38,75.1,63.15,55.38,12.09
1.4,75.16,68.86,56.69,12.23
1.42,75.25,70.21,54.5,11.25
1.43,75.19,64.59,55.7,12.31
1.45,75.14,70.28,56.92,11.23
1.47,75.27,64.35,53.58,12.25
1.48,75.22,70.05,54.79,11.33
1.5,75.2,65.29,56.03,12.34
1.52,75.11,71.01,57.06,10.71
1.53,75.33,61.36,53.1,11.69
1.55,75.14,67.03,54.18,12.57
1.57,75.31,72.87,55.62,9.35
1.58,75.33,53.62,56.89,10.35
1.6,75.24,59.32,53.5,11.4
1.62,75.18,65.0,54.7,12.33
1.63,75.2,70.74,55.97,10.89
1.65,75.3,62.44,57.33,11.92
1.67,75.24,68.14,51.71,12.79
1.68,75.14,73.1,52.86,9.16
1.7,75.31,52.74,54.3,10.29
1.72,75.15,58.36,55.39,11.27
1.73,75.34,64.1,56.83,12.19
1.75,75.37,69.82,53.85,11.48
1.77,75.28,66.23,55.03,12.59
1.78,75.25,71.92,56.26,10.06
1.8,75.33,57.55,56.26,11.0
1.82,75.27,63.28,56.13,12.02
1.83,75.26,69.01,56.72,12.16
1.85,75.23,69.53,54.25,11.77
1.87,75.41,67.46,55.69,12.76
1.88,75.21,73.13,56.75,9.2
1.9,75.39,52.57,54.33,10.19
1.92,75.28,58.24,55.48,11.13
1.93,75.35,64.01,56.81,12.18
1.95,75.33,69.72,53.9,11.6
1.97,75.36,66.64,55.19,12.62
1.98,75.24,72.33,56.33,9.76
2.0,75.28,55.85,55.94,10.71
2.02,75.18,61.56,57.1,11.76
2.03,75.42,67.35,52.95,12.72
2.05,75.19,73.01,53.98,9.32
2.07,75.24,53.02,55.28,10.28
2.08,75.34,58.75,56.64,11.25
2.1,75.34,64.48,54.62,12.23
2.12,75.38,70.22,55.92,11.22
2.13,75.25,64.54,57.05,12.29
2.15,75.27,70.26,52.95,11.27
2.17,75.26,64.37,54.19,12.2
2.18,75.24,70.1,55.43,11.28
2.2,75.31,65.12,56.77,12.31
2.22,75.29,70.86,54.07,10.82
2.23,75.35,61.92,55.39,11.82
