Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,74.98,67.99,55.98,28.77,0
0.02,75.01,70.45,56.54,24.68,0
0.03,74.93,60.31,54.23,25.64,0
0.05,75.05,62.79,54.9,26.58,0
0.07,75.1,65.26,55.48,27.57,0
0.08,75.03,67.69,55.95,28.67,0
0.1,74.77,70.06,56.24,25.22,0
0.12,75.06,62.04,55.83,26.3,0
0.13,75.02,64.48,56.33,27.26,0
0.15,74.97,66.92,55.14,28.54,0
0.17,75.03,69.37,55.73,26.67,0
0.18,75.06,64.78,56.29,27.27,0
0.2,74.88,67.19,55.17,28.48,0
0.22,75.04,69.69,55.86,26.03,0
0.23,75.03,63.45,56.39,26.71,0
0.25,74.99,65.91,54.89,28.04,0
0.27,74.94,68.33,55.37,28.18,0
0.28,74.95,69.1,55.93,27.07,0
0.3,75.08,65.93,56.59,27.81,0
0.32,75.04,68.37,54.07,28.14,0
0.33,74.97,68.9,54.54,27.29,0
0.35,75.1,66.77,55.21,28.37,0
0.37,75.01,69.18,55.65,26.94,0
0.38,74.92,65.54,56.09,27.94,0
0.4,75.06,68.01,56.31,28.7,0
0.42,75.09,70.43,55.29,24.62,0
0.43,75.19,60.44,55.93,25.69,0
0.45,75.06,62.85,56.33,26.74,0
0.47,75.11,65.31,55.23,27.78,0
0.48,75.14,67.75,55.8,28.63,0
0.5,75.17,70.21,56.37,25.0,0
0.52,75.2,61.34,55.04,26.3,0
0.53,75.05,63.72,55.42,26.84,0
0.55,75.08,66.19,56.0,27.96,0
0.57,75.1,68.65,56.55,27.67,0
0.58,75.11,67.77,54.28,28.9,0
0.6,75.01,70.16,54.71,25.17,0
0.62,75.11,61.56,55.35,26.02,0
0.63,75.03,64.0,55.82,27.18,0
0.65,75.1,66.46,56.43,28.21,0
0.67,75.08,68.9,54.74,27.3,0
0.68,75.09,66.73,55.28,28.2,0
0.7,75.06,69.17,55.79,26.69,0
0.72,75.09,65.64,56.36,27.79,0
0.73,75.18,68.11,55.15,28.61,0
0.75,75.21,70.0,55.71,25.3,0
0.77,75.05,62.15,56.1,26.32,0
0.78,75.06,64.61,56.13,27.29,0
0.8,75.11,67.08,56.06,28.54,0
0.82,75.11,69.52,56.28,26.22,0
0.83,75.14,64.17,55.41,27.06,0
0.85,75.16,66.64,55.98,28.05,0
0.87,75.06,69.07,56.41,27.07,0
0.88,75.1,66.04,54.89,28.17,0
0.9,75.18,68.49,55.5,27.66,0
0.92,75.11,68.43,55.98,28.1,0
0.93,75.28,68.72,56.69,27.42,0
0.95,75.13,67.44,53.54,28.26,0
0.97,75.08,69.9,54.03,25.44,0
0.98,75.17,62.64,54.67,26.33,0
1.0,75.14,65.1,55.17,27.52,0
1.02,75.2,67.57,55.78,28.55,0
1.03,75.15,70.0,56.26,25.41,0
1.05,75.23,62.22,55.55,26.19,0
1.07,75.22,64.68,56.09,27.49,0
1.08,75.27,67.14,56.21,28.14,0
1.1,75.26,69.6,55.66,25.93,0
1.12,75.27,63.86,56.21,26.98,0
1.13,75.21,66.3,55.62,27.74,0
1.15,75.18,68.77,56.14,27.44,0
1.17,75.24,67.28,56.02,28.37,0
1.18,75.31,69.76,56.52,25.8,0
1.2,75.21,63.15,54.29,26.82,0
1.22,75.36,65.64,54.98,27.81,0
1.23,75.31,68.07,55.47,28.66,0
1.25,75.21,70.12,55.9,25.11,0
1.27,75.25,61.71,56.48,26.27,0
1.28,75.08,64.1,54.39,27.04,0
1.3,75.37,66.65,55.22,28.32,0
1.32,75.23,69.05,55.62,27.08,0
1.33,75.24,66.1,56.17,27.95,0
1.35,75.17,68.53,55.76,27.98,0
1.37,75.17,68.25,56.29,28.44,0
1.38,75.14,69.4,55.32,26.44,0
1.4,75.29,64.7,56.0,27.26,0
1.42,75.13,67.12,56.38,28.28,0
1.43,75.3,69.63,55.15,25.89,0
1.45,75.22,63.7,55.61,27.0,0
1.47,75.13,66.12,56.06,27.94,0
1.48,75.18,68.59,56.34,27.71,0
1.5,75.25,68.04,55.2,28.75,0
1.52,75.14,70.24,55.63,25.18,0
1.53,75.19,61.2,56.22,25.74,0
1.55,75.12,63.64,55.56,27.15,0
1.57,75.26,66.12,56.23,27.77,0
1.58,75.18,68.56,55.52,28.02,0
1.6,75.26,68.14,56.14,28.39,0
1.62,75.26,69.88,55.95,25.63,0
1.63,75.23,62.67,56.46,26.6,0
1.65,75.3,65.14,54.71,27.74,0
1.67,75.31,67.58,55.26,28.5,0
1.68,75.17,69.99,55.66,25.36,0
1.7,75.18,62.24,56.2,26.66,0
1.72,75.35,64.71,55.89,27.41,0
1.73,75.08,67.08,56.16,28.21,0
1.75,75.24,69.59,56.04,26.03,0
1.77,75.34,63.91,56.46,27.04,0
1.78,75.07,66.28,54.37,28.29,0
1.8,75.15,68.74,54.99,27.5,0
1.82,75.23,67.42,55.61,28.58,0
1.83,75.26,69.87,56.18,25.55,0
1.85,75.19,62.71,55.72,26.55,0
1.87,75.26,65.18,56.33,27.65,0
1.88,75.29,67.63,55.21,28.65,0
1.9,75.29,70.07,55.74,25.08,0
1.92,75.19,61.89,56.19,26.11,0
1.93,75.34,64.4,55.9,27.08,0
1.95,75.3,66.85,56.41,28.19,0
1.97,75.27,69.3,54.81,26.74,0
1.98,75.19,65.04,55.27,27.46,0
2.0,75.28,67.52,55.9,28.52,0
2.02,75.33,69.99,56.49,25.23,0
2.03,75.44,62.28,54.62,26.31,0
2.05,75.18,64.65,54.9,27.19,0
2.07,75.28,67.15,55.55,28.34,0
2.08,75.34,69.62,56.15,25.8,0
2.1,75.3,63.77,55.89,26.75,0
2.12,75.29,66.24,56.42,27.92,0
2.13,75.28,68.69,54.79,27.51,0
2.15,75.27,67.6,55.32,28.53,0
2.17,75.46,70.11,56.05,25.2,0
2.18,75.31,61.69,56.19,26.15,0
2.2,75.37,64.16,55.81,26.92,0
2.22,75.43,66.65,56.41,27.94,0
2.23,75.23,69.06,54.65,26.98,0
2.25,75.33,66.1,55.29,27.79,0
2.27,75.31,68.55,55.82,27.69,0
2.28,75.3,68.19,56.35,28.64,0
2.3,75.4,69.67,55.19,26.06,0
2.32,75.35,63.53,55.67,26.99,0
2.33,75.32,65.96,56.18,28.07,0
2.35,75.38,68.41,55.85,28.06,0
2.37,75.24,68.71,56.24,27.39,0
2.38,75.22,67.52,55.53,28.55,0
2.4,75.42,70.03,56.27,25.3,0
2.42,75.3,62.04,55.31,26.57,0
2.43,75.35,64.47,55.89,27.27,0
2.45,75.23,66.89,56.31,28.35,0
2.47,75.39,69.38,55.42,26.3,0
2.48,75.48,64.78,56.05,27.49,0
2.5,75.29,67.17,56.14,28.57,0
2.52,75.27,69.59,55.94,26.09,0
2.53,75.33,63.9,56.54,26.91,0
