Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.02,68.0,56.02,12.91,1
0.02,75.05,73.72,57.2,8.81,1
0.03,74.99,50.05,52.24,9.71,1
0.05,74.98,55.79,53.49,10.75,1
0.07,75.01,61.52,54.78,11.81,1
0.08,75.01,67.21,56.04,12.79,1
0.1,75.08,72.94,57.15,9.32,1
0.12,75.08,53.32,52.51,10.35,1
0.13,74.94,58.98,53.63,11.3,1
0.15,75.17,64.77,55.12,12.31,1
0.17,74.92,70.42,56.12,11.13,1
0.18,75.06,63.78,56.91,12.14,1
0.2,75.0,69.49,53.44,11.85,1
0.22,75.06,67.56,54.75,12.86,1
0.23,74.98,73.23,55.93,9.1,1
0.25,74.93,52.12,57.14,10.09,1
0.27,75.0,57.88,52.63,11.04,1
0.28,75.14,63.69,54.03,12.06,1
0.3,75.16,69.45,55.32,11.9,1
0.32,75.05,67.67,56.46,12.78,1
0.33,75.08,73.42,55.39,8.98,1
0.35,75.08,51.33,56.65,9.97,1
0.37,75.0,57.03,54.5,11.03,1
0.38,75.06,62.73,55.81,11.92,1
0.4,75.08,68.48,57.09,12.62,1
0.42,75.06,71.7,52.73,10.25,1
0.43,75.08,58.42,54.0,11.19,1
0.45,75.07,64.15,55.25,12.2,1
0.47,75.02,69.86,56.47,11.53,1
0.48,75.0,66.04,55.29,12.49,1
0.5,75.16,71.84,56.72,10.18,1
0.52,75.0,57.77,54.11,11.03,1
0.53,75.0,63.53,55.38,12.16,1
0.55,75.05,69.24,56.68,12.02,1
0.57,75.02,68.58,54.42,12.39,1
0.58,75.06,71.38,55.73,10.51,1
0.6,75.17,59.75,57.09,11.48,1
0.62,75.1,65.43,52.68,12.46,1
0.63,75.23,71.17,54.07,10.62,1
0.65,75.19,60.6,55.28,11.59,1
0.67,75.14,66.31,56.49,12.63,1
0.68,74.99,71.96,55.08,9.98,1
0.7,75.15,57.45,56.5,11.01,1
0.72,75.1,63.17,55.15,12.12,1
0.73,75.14,68.86,56.45,12.3,1
0.75,75.15,70.15,55.4,11.31,1
0.77,75.04,64.82,56.54,12.32,1
0.78,75.11,70.57,55.11,11.03,1
0.8,75.34,63.18,56.6,12.18,1
0.82,75.05,68.73,54.47,12.39,1
0.83,75.15,70.72,55.82,10.91,1
0.85,75.06,62.47,56.99,11.96,1
0.87,75.2,68.21,53.31,12.74,1
0.88,75.04,72.79,54.41,9.41,1
0.9,75.21,54.01,55.84,10.42,1
0.92,75.15,59.72,57.04,11.46,1
0.93,75.14,65.42,52.95,12.52,1
0.95,75.22,71.12,54.28,10.6,1
0.97,75.05,60.8,55.37,11.73,1
0.98,75.19,66.51,56.76,12.67,1
1.0,75.13,72.18,54.05,9.88,1
1.02,75.07,56.43,55.24,10.95,1
1.03,75.15,62.13,56.57,11.9,1
1.05,75.08,67.81,54.84,12.83,1
1.07,75.0,73.51,56.01,8.88,1
1.08,75.24,51.06,57.47,9.95,1
1.1,75.07,56.71,51.01,10.93,1
1.12,75.06,62.41,52.25,12.0,1
1.13,75.19,68.12,53.63,12.8,1
1.15,75.3,73.26,55.0,9.02,1
1.17,75.1,51.98,56.07,10.12,1
1.18,75.23,57.72,57.09,11.07,1
1.2,75.1,63.4,52.63,12.07,1
1.22,75.16,69.14,53.95,12.02,1
1.23,75.2,69.04,55.25,12.29,1
1.25,75.2,69.35,56.49,11.89,1
1.27,75.31,68.18,55.34,12.65,1
1.28,75.22,73.0,56.53,9.23,1
1.3,75.17,53.09,55.02,10.27,1
1.32,75.28,58.84,56.39,11.37,1
1.33,75.21,64.49,55.57,12.27,1
1.35,75.06,70.16,56.67,11.34,1
1.37,75.29,64.86,54.72,12.35,1
1.38,75.29,70.56,55.98,11.09,1
1.4,75.28,63.12,57.22,12.12,1
1.42,75.25,68.78,52.18,12.33,1
1.43,75.16,70.46,53.35,11.13,1
1.45,75.19,63.56,54.63,12.05,1
1.47,75.24,69.32,55.94,11.92,1
1.48,75.21,68.26,57.18,12.69,1
1.5,75.27,72.67,52.44,9.56,1
1.52,75.31,54.41,53.73,10.43,1
1.53,75.1,60.11,54.79,11.48,1
1.55,75.17,65.86,56.12,12.43,1
1.57,75.26,71.65,56.86,10.21,1
1.58,75.3,58.67,53.75,11.28,1
1.6,75.3,64.37,55.01,12.14,1
1.62,75.24,70.12,56.22,11.38,1
1.63,75.46,65.02,56.56,12.3,1
1.65,75.14,70.67,54.64,10.94,1
1.67,75.32,62.75,56.08,11.88,1
1.68,75.16,68.46,56.77,12.47,1
1.7,75.45,71.95,54.38,9.97,1
1.72,75.39,57.42,55.58,11.0,1
1.73,75.24,63.1,56.69,12.11,1
1.75,75.39,68.82,54.55,12.41,1
1.77,75.22,70.21,55.62,11.25,1
1.78,75.19,64.61,56.86,12.21,1
1.8,75.22,70.37,53.74,11.22,1
1.82,75.18,63.89,54.95,12.22,1
1.83,75.33,69.63,56.36,11.62,1
1.85,75.13,66.97,55.58,12.67,1
1.87,75.25,72.74,56.96,9.4,1
1.88,75.43,54.24,53.48,10.51,1
1.9,75.33,59.9,54.63,11.4,1
1.92,75.24,65.62,55.81,12.45,1
1.93,75.33,71.38,57.16,10.4,1
1.95,75.29,59.77,52.43,11.44,1
1.97,75.35,65.5,53.75,12.46,1
1.98,75.16,71.15,54.81,10.65,1
2.0,75.25,60.72,56.16,11.53,1
2.02,75.34,66.5,56.7,12.59,1
2.03,75.37,72.24,54.4,9.79,1
2.05,75.41,56.24,55.69,10.85,1
2.07,75.33,61.91,56.86,11.87,1
2.08,75.23,67.57,53.61,12.78,1
2.1,75.45,73.37,55.09,8.91,1
2.12,75.38,51.58,56.29,9.94,1
2.13,75.31,57.31,56.0,10.95,1
2.15,75.36,63.08,57.31,12.05,1
2.17,75.34,68.77,51.83,12.3,1
2.18,75.36,70.55,53.1,11.01,1
2.2,75.32,63.19,54.33,12.09,1
2.22,75.35,68.89,55.61,12.29,1
2.23,75.21,69.97,56.72,11.41,1
2.25,75.3,65.64,54.38,12.45,1
2.27,75.35,71.38,55.69,10.48,1
2.28,75.32,59.72,56.91,11.44,1
2.3,75.32,65.43,53.5,12.41,1
2.32,75.22,71.13,54.66,10.67,1
2.33,75.24,60.78,55.93,11.54,1
2.35,75.4,66.58,57.36,12.56,1
2.37,75.29,72.3,51.54,9.85,1
2.38,75.24,55.89,52.74,10.68,1
2.4,75.34,61.69,54.1,11.68,1
2.42,75.31,67.45,55.34,12.79,1
2.43,75.29,73.16,56.59,9.17,1
2.45,75.38,52.43,54.9,10.19,1
2.47,75.43,58.14,56.2,11.12,1
2.48,75.31,63.83,56.32,12.03,1
2.5,75.23,69.59,55.87,11.7,1
2.52,75.18,67.15,57.08,12.72,1
2.53,75.21,72.88,52.83,9.3,1
2.55,75.25,53.62,54.13,10.37,1
2.57,75.31,59.36,55.45,11.45,1
2.58,75.29,65.02,56.68,12.3,1
2.6,75.28,70.77,54.45,10.82,1
2.62,75.47,62.37,55.9,11.9,1
2.63,75.63,68.12,57.32,12.76,1
2.65,75.35,73.15,51.53,9.14,1
2.67,75.42,52.49,52.86,10.14,1
2.68,75.38,58.2,54.08,11.09,1
2.7,75.23,63.92,55.2,12.15,1
2.72,75.45,69.71,56.67,11.6,1
2.73,75.27,66.62,54.32,12.6,1
2.75,75.51,72.43,55.83,9.69,1
2.77,75.43,55.39,57.0,10.69,1
2.78,75.43,61.08,53.12,11.68,1
2.8,75.3,66.75,54.25,12.62,1
2.82,75.38,72.51,55.59,9.67,1
2.83,75.23,55.02,56.69,10.63,1
2.85,75.3,60.75,54.48,11.65,1
2.87,75.3,66.44,55.73,12.6,1
2.88,75.38,72.19,57.07,9.85,1
2.9,75.42,56.43,52.88,10.82,1
2.92,75.26,62.11,53.98,11.8,1
2.93,75.42,67.9,55.4,12.87,1
2.95,75.46,73.62,56.7,8.79,1
2.97,75.43,50.52,54.34,9.84,1
2.98,75.43,56.22,55.59,10.72,1
3.0,75.38,61.98,56.81,11.78,1
3.02,75.27,67.69,53.82,12.9,1
3.03,75.31,73.38,55.1,9.01,1
3.05,75.43,51.52,56.48,10.0,1
3.07,75.33,57.21,55.17,11.02,1
3.08,75.24,62.88,56.34,12.01,1
3.1,75.5,68.67,56.11,12.27,1
3.12,75.46,70.99,56.77,10.76,1
3.13,75.26,61.28,53.87,11.79,1
3.15,75.32,66.98,55.19,12.7,1
3.17,75.4,72.72,56.53,9.51,1
3.18,75.43,54.21,55.09,10.37,1
3.2,75.41,59.97,56.34,11.49,1
3.22,75.27,65.63,55.71,12.42,1
3.23,75.44,71.42,57.14,10.42,1
3.25,75.2,59.52,52.31,11.33,1
3.27,75.4,65.33,53.77,12.37,1
3.28,75.52,71.1,55.16,10.73,1
3.3,75.36,60.8,56.24,11.67,1
3.32,75.35,66.49,56.25,12.62,1
3.33,75.5,72.24,56.37,9.8,1
3.35,75.46,56.21,55.7,10.73,1
3.37,75.39,61.95,56.89,11.82,1
3.38,75.44,67.68,53.63,12.86,1
3.4,75.32,73.34,54.76,8.99,1
3.42,75.5,51.74,56.21,9.96,1
3.43,75.36,57.45,56.26,10.98,1
3.45,75.4,63.21,56.23,12.01,1
3.47,75.42,68.95,56.33,12.19,1
3.48,75.52,69.82,55.99,11.5,1
3.5,75.23,66.14,56.97,12.45,1
3.52,75.32,71.94,53.35,10.03,1
3.53,75.48,57.5,54.77,11.08,1
3.55,75.41,63.17,55.96,12.08,1
3.57,75.35,68.84,57.15,12.24,1
3.58,75.39,70.27,52.55,11.32,1
3.6,75.27,64.27,53.68,12.28,1
3.62,75.4,69.99,55.05,11.44,1
3.63,75.37,65.49,56.28,12.43,1
3.65,75.43,71.23,56.16,10.57,1
3.67,75.4,60.35,56.57,11.73,1
3.68,75.4,65.97,54.88,12.47,1
3.7,75.33,71.69,56.08,10.24,1
3.72,75.42,58.49,57.0,11.17,1
3.73,75.36,64.21,53.08,12.28,1
3.75,75.31,69.88,54.28,11.53,1
3.77,75.46,65.99,55.69,12.45,1
3.78,75.46,71.75,56.96,10.14,1
3.8,75.48,58.25,53.31,11.12,1
3.82,75.29,63.94,54.39,12.14,1
3.83,75.44,69.71,55.8,11.58,1
3.85,75.42,66.68,57.04,12.59,1
3.87,75.38,72.41,52.92,9.69,1
3.88,75.4,55.52,54.21,10.62,1
3.9,75.4,61.28,55.47,11.72,1
3.92,75.44,66.99,56.77,12.7,1
3.93,75.42,72.7,54.05,9.5,1
3.95,75.33,54.27,55.22,10.38,1
3.97,75.47,60.09,56.63,11.53,1
3.98,90.42,90.13,100.42,0.2,1
4.0,90.44,90.13,100.44,0.21,1
4.02,90.42,90.13,100.42,0.2,1
4.03,90.48,90.14,100.48,0.21,1
4.05,90.34,90.1,100.34,0.21,1
4.07,90.37,90.11,100.37,0.21,1
4.08,90.35,90.11,100.35,0.2,1
4.1,90.4,90.12,100.4,0.21,1
4.12,90.42,90.13,100.42,0.2,1
4.13,90.45,90.13,100.45,0.21,1
4.15,90.38,90.11,100.38,0.21,1
4.17,90.42,90.13,100.42,0.2,1
4.18,90.35,90.11,100.35,0.2,1
4.2,90.34,90.1,100.34,0.21,1
